scientific_name,native_provinces
Crataegus persimilis,ON
Crataegus phippsii,BC
Crataegus populnea,ON
Crataegus prona,ON
Crataegus pruinosa,ON
Crataegus punctata,NB|NS|ON|QC
Crataegus purpurella,SK
Crataegus rivuloadamensis,AB|SK
Crataegus rivulopugnensis,AB|SK
Crataegus rubribracteolata,AB|SK
Crataegus scabrida,NB|NS|ON|QC
Crataegus schuettei,ON|QC
Crataegus sheila-phippsiae,BC|SK
Crataegus sheridana,AB|SK
Crataegus shuswapensis,BC
Crataegus stolonifera,ON
Crataegus submollis,MB|NB|NS|ON|QC
Crataegus suborbiculata,ON|QC
Crataegus succulenta,MB|NB|NS|ON|PE
Crataegus suksdorfii,BC
Crataegus ursopedensis,AB|SK
Crataegus ×knieskerniana,QC
Crataegus ×laurentiana,QC
Crataegus ×ninae-celottiae,ON
Crepidomanes intricatum,QC
Crepis acuminata,BC
Crepis atribarba,AB|BC|SK
Crepis intermedia,AB|BC|SK
Crepis modocensis,BC
Crepis occidentalis,AB|BC|SK
Crepis runcinata,AB|BC|MB|SK
Crocanthemum bicknellii,MB|ON|QC
Crocanthemum canadense,NS|ON|QC
Crocidium multicaule,BC
Crucihimalaya bursifolia,NT|NU|YT
Crucihimalaya virgata,AB|SK
Cryptantha affinis,AB|BC
Cryptantha ambigua,BC
Cryptantha fendleri,AB|SK
Cryptantha kelseyana,AB|SK
Cryptantha minima,AB|SK
Cryptantha torreyana,BC
Cryptantha watsonii,BC
Cryptogramma acrostichoides,AB|BC|MB|NT|ON|SK|YT
Cryptogramma cascadensis,BC
Cryptogramma sitchensis,BC|NT|YT
Cryptogramma stelleri,AB|BC|NB|NS|NT|NU|ON|QC|YT
Cryptotaenia canadensis,MB|ON|QC
Cubelium concolor,ON
Cuscuta campestris,AB|BC|MB|NS|ON|QC|SK
Cuscuta cephalanthi,AB|BC|MB|NB|NS|ON
Cuscuta coryli,MB|ON|QC|SK
Cuscuta gronovii,AB|MB|NB|NS|ON|PE|QC|SK
Cuscuta indecora,SK
Cuscuta pacifica,BC
Cuscuta pentagona,MB
Cuscuta polygonorum,ON|QC
Cuscuta umbrosa,AB|MB|ON|SK
Cyclachaena xanthiifolia,AB|SK
Cymopterus glomeratus,AB|MB|SK
Cyperus acuminatus,BC|SK
Cyperus bipartitus,NB|ON|QC
Cyperus dentatus,NB|NS|ON|QC
Cyperus diandrus,NB|NS|ON|QC
Cyperus engelmannii,ON|QC
Cyperus erythrorhizos,BC|MB|ON|QC
Cyperus esculentus,NB|NS|ON|QC
Cyperus flavescens,ON
Cyperus houghtonii,MB|ON|QC
Cyperus lupulinus,NB|NS|ON|QC
Cyperus odoratus,ON|QC
Cyperus schweinitzii,AB|MB|ON|QC|SK
Cyperus squarrosus,AB|BC|MB|NB|ON|QC|SK
Cyperus strigosus,MB|ON|QC|SK
Cyperus subsquarrosus,BC|ON
Cyperus ×mesochorus,ON|QC
Cypripedium acaule,AB|MB|NB|NS|ON|PE|PM|QC|SK
Cypripedium arietinum,MB|NS|ON|QC|SK
Cypripedium candidum,MB|ON|SK
Cypripedium guttatum,NT|YT
Cypripedium montanum,AB|BC|SK
Cypripedium parviflorum,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Cypripedium passerinum,AB|BC|MB|NT|NU|ON|QC|SK|YT
Cypripedium reginae,MB|NB|NS|ON|PE|QC|SK
Cypripedium ×andrewsii,MB|ON
Cypripedium ×columbianum,BC
Cypripedium ×herae,MB
Cystopteris bulbifera,NB|NS|ON|QC
Cystopteris fragilis,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Cystopteris laurentiana,NB|NS|ON|QC
Cystopteris montana,AB|BC|NS|NT|ON|QC|SK|YT
Cystopteris protrusa,ON
Cystopteris tenuis,NB|NS|ON|QC
Dalea candida,AB|MB|SK
Dalea purpurea,AB|MB|ON|SK
Dalea villosa,MB|SK
Danthonia californica,AB|BC|SK
Danthonia compressa,NS|ON|PE|QC
Danthonia intermedia,AB|BC|MB|QC|SK|YT
Danthonia parryi,AB|SK
Danthonia spicata,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Danthonia unispicata,AB|BC|SK
Dasiphora fruticosa,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Daucus pusillus,BC
Decodon verticillatus,NB|NS|ON|PE|QC
Delphinium bicolor,AB|BC|SK
Delphinium brachycentrum,BC|YT
Delphinium carolinianum,MB
Delphinium distichum,BC
Delphinium glaucum,AB|BC|NT|SK|YT
Delphinium menziesii,BC
Delphinium nuttallianum,BC
Delphinium sutherlandii,AB|BC
Dendrolycopodium dendroideum,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Dendrolycopodium hickeyi,AB|MB|NB|NS|ON|PE|PM|QC|SK
Dendrolycopodium obscurum,NB|NS|ON|QC
Deparia acrostichoides,NB|NS|ON|PE|QC
Deschampsia cespitosa,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Deschampsia danthonioides,BC
Deschampsia elongata,AB|BC
Deschampsia mackenzieana,NT|SK
Deschampsia sukatschewii,NT|NU|ON|QC|YT
Descurainia incana,AB|BC|MB|NB|NT|ON|QC|SK|YT
Descurainia incisa,AB|BC|YT
Descurainia longepedicellata,BC
Descurainia nelsonii,BC|YT
Descurainia pinnata,AB|BC|MB|NS|NT|ON|QC|SK|YT
Descurainia sophioides,AB|BC|MB|NT|NU|YT
Desmodium canadense,MB|NB|NS|ON|QC
Desmodium canescens,ON
Desmodium cuspidatum,ON
Desmodium illinoense,ON
Desmodium paniculatum,ON|QC
Desmodium rotundifolium,ON
Dianthus repens,YT
Diapensia lapponica,MB|NS|NT|NU|ON|PM|QC
Diapensia obovata,BC|NT|YT
Diarrhena obovata,ON
Dicentra canadensis,ON|QC
Dicentra canadensis × Dicentra cucullaria,QC
Dicentra cucullaria,MB|NB|NS|ON|QC
Dicentra formosa,BC
Dicentra uniflora,BC
Dichanthelium boreale,NB|NS|ON|PE|PM|QC
Dichanthelium clandestinum,NS|ON|QC
Dichanthelium commonsianum,ON
Dichanthelium depauperatum,MB|NB|NS|ON|PE|QC
Dichanthelium dichotomum,NB|ON
Dichanthelium implicatum,BC|NB|NS|ON|QC
Dichanthelium lanuginosum,AB|BC|MB|NB|NS|ON|PE|QC|SK
Dichanthelium latifolium,ON|QC
Dichanthelium leibergii,AB|MB|ON|SK
Dichanthelium lindheimeri,MB|NB|NS|ON|QC
Dichanthelium linearifolium,MB|NB|NS|ON|QC
Dichanthelium meridionale,NS|ON
Dichanthelium oligosanthes,AB|BC|MB|ON
Dichanthelium perlongum,MB|ON
Dichanthelium portoricense,MB|NS|ON|PE|QC
Dichanthelium praecocius,ON
Dichanthelium sphaerocarpon,ON
Dichanthelium spretum,NS|ON
Dichanthelium subvillosum,MB|NB|NS|QC|SK
Dichanthelium thermale,AB
Dichanthelium wilcoxianum,AB|MB|SK
Dichanthelium xanthophysum,MB|NB|NS|ON|QC|SK
Diervilla lonicera,MB|NB|NS|ON|PE|PM|QC|SK
Dieteria canescens,AB|BC|SK
Digitaria cognata,ON
Dioscorea villosa,ON
Diphasiastrum alpinum,AB|BC|MB|NT|NU|QC|YT
Diphasiastrum complanatum,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Diphasiastrum digitatum,NB|NS|ON|PE|QC
Diphasiastrum sitchense,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK|YT
Diphasiastrum tristachyum,MB|NB|NS|ON|PE|QC
Diphasiastrum ×habereri,NS|ON|QC
Diphasiastrum ×sabinifolium,NB|NS|ON|PE|QC
Diphasiastrum ×verecundum,ON|QC
Diphasiastrum ×zeilleri,MB|ON
Dirca palustris,NB|NS|ON|QC
Distichlis spicata,AB|BC|MB|NB|NS|NT|PE|SK
Doellingeria engelmannii,AB|BC
Doellingeria paucicapitata,BC
Doellingeria umbellata,AB|MB|NB|NS|ON|PE|PM|QC|SK
Douglasia alaskana,YT
Douglasia arctica,NT|YT
Douglasia gormanii,BC|NT|YT
Douglasia laevigata,BC
Douglasia montana,AB
Douglasia ochotensis,NT|YT
Downingia elegans,BC
Downingia laeta,AB|SK
Draba airdii,YT
Draba albertina,AB|BC|NT|YT
Draba aleutica,YT
Draba alpina,MB|NU|ON|QC
Draba arabisans,MB|NB|NS|ON|QC
Draba arctica,NT|NU|QC
Draba arctogena,NT|NU
Draba aurea,AB|BC|MB|NT|NU|ON|QC|SK|YT
Draba bennettii,YT
Draba borealis,AB|BC|NT|NU|YT
Draba bruce-bennettii,YT
Draba cana,AB|BC|MB|NB|NT|ON|QC|SK|YT
Draba caswellii,YT
Draba catlingii,NT|YT
Draba cayouettei,NU|QC
Draba chamissonis,BC
Draba cinerea,AB|BC|NT|NU|ON|QC|SK|YT
Draba corymbosa,BC|NT|NU|QC|YT
Draba crassifolia,AB|BC|NT|NU|QC|YT
Draba darbyshirei,NT|YT
Draba densifolia,AB|BC|YT
Draba fladnizensis,AB|BC|NT|NU|YT
Draba franktonii,BC
Draba glabella,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|YT
Draba grandis,BC
Draba incana,MB|NB|NU|ON|PE|QC
Draba incerta,AB|BC|NT|YT
Draba juvenilis,AB|BC|NT|NU|YT
Draba kluanei,YT
Draba lactea,BC|MB|NT|NU|ON|QC|YT
Draba lonchocarpa,AB|BC|NT|NU|YT
Draba macounii,AB|BC|NT|YT
Draba micropetala,NT|NU|QC
Draba mulliganii,YT
Draba murrayi,YT
Draba nemorosa,AB|BC|MB|NT|NU|ON|QC|SK|YT
Draba nivalis,AB|BC|MB|NT|NU|ON|QC|YT
Draba norvegica,NS|NT|NU|ON|QC
Draba novolympica,AB|BC
Draba oblongata,NT|NU|QC
Draba ogilviensis,NT|YT
Draba oligosperma,AB|BC|NT|NU|YT
Draba palanderiana,NT|YT
Draba pauciflora,NT|NU
Draba pilosa,NT|NU|QC|YT
Draba porsildii,AB|BC|NT|YT
Draba praealta,AB|BC|NT|YT
Draba puvirnituqii,QC
Draba pycnosperma,NS|QC
Draba ruaxes,AB|BC|YT
Draba scotteri,BC|YT
Draba shehbazii,NT
Draba simmonsii,NT|NU
Draba stenoloba,AB|BC|NT|YT
Draba stenopetala,YT
Draba subcapitata,NT|NU|QC
Draba taylorii,BC
Draba thompsonii,BC|YT
Draba ventosa,AB|BC|YT
Draba yukonensis,YT
Dracocephalum parviflorum,AB|BC|MB|NT|ON|QC|SK|YT
Drosera anglica,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Drosera filiformis,NS
Drosera intermedia,NB|NS|ON|PE|PM|QC
Drosera linearis,AB|BC|MB|NT|ON|QC|SK
Drosera rotundifolia,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Drosera ×eloisiana,NS|ON
Drosera ×linglica,QC
Drosera ×obovata,BC|QC
Drosera ×woodii,ON|QC
Dryas ajanensis,NT|YT
Dryas ajanensis subsp. beringensis × Dryas integrifolia subsp. integrifolia,BC|YT
Dryas ajanensis subsp. beringensis × Dryas integrifolia subsp. sylvatica,YT
Dryas alaskensis,BC|NT|YT
Dryas drummondii,AB|BC|NB|NT|ON|QC|SK|YT
Dryas hookeriana,AB|BC|NT|YT
Dryas incisa,NT|YT
Dryas integrifolia,AB|BC|MB|NB|NT|NU|ON|QC|YT
Dryas ×lewinii,QC
Dryas ×suendermannii,AB
Drymocallis arguta,AB|BC|MB|NB|NT|ON|QC|SK
Drymocallis convallaria,AB|BC|YT
Drymocallis glandulosa,BC
Drymocallis pseudorupestris,AB|BC
Dryopteris arguta,BC
Dryopteris campyloptera,NB|NS|PE|PM|QC
Dryopteris campyloptera × Dryopteris intermedia,NB
Dryopteris campyloptera × Dryopteris marginalis,NS
Dryopteris carthusiana,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Dryopteris carthusiana × Dryopteris cristata,NB|ON|QC
Dryopteris clintoniana,NB|ON|QC
Dryopteris clintoniana × Dryopteris cristata,ON
Dryopteris cristata,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK
Dryopteris expansa,AB|BC|MB|NT|ON|QC|SK|YT
Dryopteris filix-mas,AB|BC|NB|NS|ON|PM|QC|SK
Dryopteris fragrans,AB|BC|MB|NB|NS|NT|NU|ON|QC|SK|YT
Dryopteris goldieana,NB|ON|QC
Dryopteris goldieana × Dryopteris intermedia,ON
Dryopteris intermedia,NB|NS|ON|PE|PM|QC
Dryopteris intermedia × Dryopteris marginalis,ON
Dryopteris marginalis,BC|NB|NS|ON|QC
Dryopteris ×algonquinensis,ON
Dryopteris ×benedictii,ON
Dryopteris ×boottii,NB|NS|ON|QC
Dryopteris ×brathaica,QC
Dryopteris ×burgessii,ON|QC
Dryopteris ×dowellii,ON|QC
Dryopteris ×mickelii,ON
Dryopteris ×montgomeryi,ON|QC
Dryopteris ×neowherryi,ON|QC
Dryopteris ×pittsfordensis,ON
Dryopteris ×slossoniae,ON
Dryopteris ×triploidea,NB|NS|ON|PE|QC
Dulichium arundinaceum,BC|MB|NB|NS|ON|PE|PM|QC
Dupontia fisheri,MB|NT|NU|ON|QC|YT
Dysphania atriplicifolia,MB|ON|SK
Echinacea angustifolia,MB|SK
Echinochloa muricata,AB|BC|MB|NS|ON|QC|SK
Echinochloa walteri,ON|QC
Echinocystis lobata,MB|NB|NS|ON|QC|SK
Eclipta prostrata,ON
Elaeagnus commutata,AB|BC|MB|NT|NU|ON|QC|SK|YT
Elatine americana,MB|NB|NT|ON|QC
Elatine brachysperma,BC
Elatine minima,NB|NS|ON|PE|PM|QC|SK
Elatine ojibwayensis,QC
Elatine orthosperma,BC
Eleocharis acicularis,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Eleocharis aestuum,QC
Eleocharis ambigens,QC
Eleocharis atropurpurea,BC
Eleocharis coloradoensis,BC|MB|SK
Eleocharis compressa,AB|MB|ON|QC|SK
Eleocharis diandra,ON|QC
Eleocharis elliptica,AB|BC|MB|NB|NS|NT|ON|PM|QC|SK
Eleocharis engelmannii,AB|BC|MB|ON|SK
Eleocharis equisetoides,ON
Eleocharis erythropoda,AB|BC|MB|NB|NT|ON|QC|SK|YT
Eleocharis fallax,NS
Eleocharis flavescens,NB|NS|ON|QC
Eleocharis geniculata,BC|ON
Eleocharis intermedia,NB|ON|QC
Eleocharis kamtschatica,BC|MB|ON|QC
Eleocharis macrostachya,AB|BC|MB|NT|ON|QC|YT
Eleocharis mamillata,AB|BC|NT|ON|QC|SK|YT
Eleocharis nitida,BC|NS|ON|PE|QC|SK
Eleocharis obtusa,BC|MB|NB|NS|ON|PE|QC
Eleocharis ovata,AB|BC|NB|NS|ON|PE|QC
Eleocharis palustris,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Eleocharis parvula,BC|NB|NS|ON|PE|PM|QC
Eleocharis quadrangulata,ON
Eleocharis quinqueflora,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Eleocharis robbinsii,NB|NS|ON|QC
Eleocharis rostellata,BC|NS|ON
Eleocharis suksdorfiana,AB|BC
Eleocharis tenuis,NB|NS|PE|QC
Eleocharis tuberculosa,NS
Eleocharis uniglumis,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|YT
Eleocharis ×macounii,QC
Elliottia pyroliflora,BC
Ellisia nyctelea,AB|MB|SK
Elmera racemosa,BC
Elodea bifoliata,AB|SK
Elodea canadensis,AB|BC|MB|NB|NS|ON|QC|SK
Elodea nuttallii,BC|MB|NB|ON|QC
Elymus alaskanus,BC|MB|NT|NU|YT
Elymus albicans,AB|BC|SK
Elymus canadensis,AB|BC|MB|NB|NT|ON|QC|SK
Elymus curvatus,BC|MB|ON|QC|SK
Elymus diversiglumis,MB|ON|SK
Elymus elymoides,AB|BC|SK
Elymus glaucus,AB|BC|MB|NT|ON|SK|YT
Elymus hirsutus,BC
Elymus hystrix,MB|NB|NS|ON|QC
Elymus lanceolatus,AB|BC|MB|NT|ON|SK|YT
Elymus lanceolatus subsp. psammophilus × Elymus trachycaulus subsp. trachycaulus,ON
Elymus macgregorii,ON
Elymus macrourus,NT|YT
Elymus riparius,ON|QC
Elymus scribneri,AB
Elymus scribneri × Elymus trachycaulus ssp. violaceum,AB
Elymus trachycaulus,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Elymus villosus,ON|QC
Elymus violaceus,AB|BC|MB|NT|NU|ON|QC|YT
Elymus virginicus,AB|MB|NB|NS|ON|PE|PM|QC|SK
Elymus wiegandii,NB|ON|QC|SK
Elymus ×cayouetteorum,QC
Elymus ×ebingeri,ON
Elymus ×maltei,ON|SK
Elymus ×mossii,AB
Elymus ×pseudorepens,AB|SK
Elymus ×saundersii,BC
Elymus ×yukonensis,BC
Empetrum atropurpureum,NS|PE|QC
Empetrum eamesii,NS|PE|PM|QC
Empetrum nigrum,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Endotropis alnifolia,AB|BC|MB|NB|NS|ON|PE|QC|SK
Enemion biternatum,ON
Enemion savilei,BC
Epifagus virginiana,NB|NS|ON|PE|QC
Epigaea repens,MB|NB|NS|ON|PE|PM|QC
Epilobium anagallidifolium,AB|BC|NT|NU|QC|YT
Epilobium arcticum,NT|NU|ON|QC|YT
Epilobium brachycarpum,AB|BC|MB|ON|QC|SK
Epilobium campestre,AB|BC|SK
Epilobium ciliatum,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Epilobium clavatum,AB|BC|YT
Epilobium coloratum,NB|NS|ON|PE|QC
Epilobium davuricum,BC|MB|NT|NU|ON|QC|YT
Epilobium densiflorum,BC
Epilobium densum,NB|NS|ON|PE|QC
Epilobium foliosum,BC
Epilobium glaberrimum,AB|BC
Epilobium hallianum,AB|BC
Epilobium hornemannii,AB|BC|NB|NS|NT|ON|QC|YT
Epilobium lactiflorum,AB|BC|NS|NT|ON|QC|YT
Epilobium leptocarpum,AB|BC
Epilobium leptophyllum,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK
Epilobium luteum,AB|BC
Epilobium minutum,AB|BC
Epilobium mirabile,AB|BC
Epilobium oregonense,BC
Epilobium palustre,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Epilobium saximontanum,AB|BC|ON|QC
Epilobium smithii,AB|BC
Epilobium torreyi,BC
Epilobium ×treleasianum,BC
Epilobium ×wisconsinense,ON
Epipactis gigantea,BC
Equisetum arvense,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Equisetum braunii,BC
Equisetum braunii × Equisetum palustre,BC
Equisetum fluviatile,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Equisetum hyemale,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Equisetum laevigatum,AB|BC|MB|ON|QC|SK
Equisetum palustre,AB|BC|MB|NB|NS|NT|NU|ON|QC|SK|YT
Equisetum pratense,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Equisetum scirpoides,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Equisetum sylvaticum,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Equisetum variegatum,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Equisetum ×ferrissii,AB|BC|ON|QC|SK
Equisetum ×jesupii,BC|NB|NS|ON|QC
Equisetum ×litorale,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC
Equisetum ×nelsonii,ON|QC
Eragrostis capillaris,ON
Eragrostis frankii,ON
Eragrostis hypnoides,MB|ON|QC|SK
Eragrostis mexicana,BC
Eragrostis pectinacea,BC|NB|NS|ON|QC|SK
Eragrostis spectabilis,ON
Erechtites hieraciifolius,NB|NS|ON|PE|QC
Eremogone capillaris,AB|BC|NT|NU|YT
Eremogone congesta,AB|SK
Ericameria bloomeri,BC
Ericameria nauseosa,AB|BC|SK
Erigenia bulbosa,ON
Erigeron acris,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Erigeron annuus,AB|BC|MB|NB|NS|ON|PE|QC|SK
Erigeron aureus,AB|BC
Erigeron caespitosus,AB|BC|MB|SK|YT
Erigeron canadensis,ON
Erigeron compositus,AB|BC|NT|NU|QC|SK|YT
Erigeron corymbosus,BC
Erigeron denalii,NT|YT
Erigeron divergens,AB|BC
Erigeron elatus,AB|BC|MB|NT|NU|ON|QC|SK|YT
Erigeron filifolius,BC
Erigeron flagellaris,AB|BC
Erigeron formosissimus,AB
Erigeron glabellus,AB|BC|MB|NT|ON|SK|YT
Erigeron glacialis,AB|BC|YT
Erigeron grandiflorus,AB|BC
Erigeron humilis,AB|BC|MB|NT|NU|ON|QC|YT
Erigeron hyperboreus,YT
Erigeron hyssopifolius,AB|MB|NB|NS|NT|NU|ON|QC|SK|YT
Erigeron lackschewitzii,AB|BC
Erigeron lanatus,AB|BC
Erigeron leibergii,BC
Erigeron linearis,BC|YT
Erigeron lonchophyllus,AB|BC|MB|NT|NU|ON|QC|SK|YT
Erigeron muirii,YT
Erigeron nivalis,AB|BC|NT|SK|YT
Erigeron ochroleucus,AB|BC|YT
Erigeron pallens,AB|BC|YT
Erigeron peregrinus,AB|BC|YT
Erigeron philadelphicus,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Erigeron poliospermus,BC
Erigeron porsildii,NT|YT
Erigeron pulchellus,ON|QC
Erigeron pumilus,AB|BC|SK
Erigeron purpuratus,NT|YT
Erigeron radicatus,AB|BC|SK
Erigeron salishii,BC
Erigeron speciosus,AB|BC
Erigeron strigosus,AB|BC|MB|NB|NS|ON|PE|QC|SK
Erigeron trifidus,AB|BC
Erigeron uniflorus,BC|NT|NU|QC|YT
Erigeron yukonensis,NT|NU|YT
Erigeron ×arthurii,AB|BC
Eriocaulon aquaticum,MB|NB|NS|ON|PE|PM|QC
Eriocaulon parkeri,NB|QC
Eriocoma hymenoides,AB|BC|MB|SK|YT
Eriocoma lemmonii,BC
Eriocoma nelsonii,AB|BC|SK|YT
Eriocoma occidentalis,BC
Eriocoma richardsonii,AB|BC|MB|SK|YT
Eriocoma thurberiana,BC
Eriogonum androsaceum,AB|BC
Eriogonum cernuum,AB|SK
Eriogonum flavum,AB|BC|MB|SK|YT
Eriogonum heracleoides,BC
Eriogonum niveum,BC
Eriogonum ovalifolium,AB|BC
Eriogonum pauciflorum,SK
Eriogonum pyrolifolium,BC
Eriogonum strictum,BC
Eriogonum umbellatum,AB|BC
Eriophorum angustifolium,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Eriophorum brachyantherum,AB|BC|MB|NT|NU|ON|QC|SK|YT
Eriophorum callitrix,AB|BC|MB|NT|NU|ON|QC|YT
Eriophorum chamissonis,BC
Eriophorum gracile,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Eriophorum russeolum,AB|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Eriophorum scheuchzeri,AB|BC|MB|NT|NU|ON|QC|SK|YT
Eriophorum tenellum,NB|NS|NU|ON|PE|PM|QC
Eriophorum triste,NT|NU|YT
Eriophorum vaginatum,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Eriophorum virginicum,NB|NS|ON|PE|PM|QC
Eriophorum viridicarinatum,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Eriophorum ×medium,NT|NU|QC
Eriophorum ×pylaieanum,NS|ON|PM|QC
Eriophyllum lanatum,BC
Eritrichium arctisibiricum,YT
Eritrichium aretioides,YT
Eritrichium boreale,YT
Eritrichium grandiflorum,YT
Eritrichium splendens,NT|YT
Erysimum angustatum,YT
Erysimum arenicola,BC
Erysimum asperum,AB|MB|SK
Erysimum capitatum,BC|YT
Erysimum coarctatum,AB|NB|NT|NU|QC|YT
Erysimum inconspicuum,AB|BC|MB|NS|NT|ON|QC|SK|YT
Erysimum pallasii,AB|BC|NT|NU|YT
Erythranthe alsinoides,BC
Erythranthe ampliata,AB
Erythranthe arvensis,BC
Erythranthe breviflora,BC
Erythranthe breweri,AB|BC
Erythranthe caespitosa,BC
Erythranthe decora,BC
Erythranthe dentata,BC
Erythranthe floribunda,AB|BC
Erythranthe geyeri,AB|MB|ON|QC|SK
Erythranthe guttata,AB|BC|NT|SK|YT
Erythranthe lewisii,AB|BC
Erythranthe microphylla,BC
Erythranthe moschata,BC|ON
Erythranthe nasuta,BC
Erythranthe patula,BC
Erythranthe scouleri,BC
Erythranthe suksdorfii,BC
Erythranthe tilingii,AB|BC
Erythronium albidum,ON
Erythronium americanum,NB|NS|ON|QC
Erythronium grandiflorum,AB|BC
Erythronium montanum,BC
Erythronium oregonum,BC
Erythronium revolutum,BC
Euonymus atropurpureus,ON
Euonymus obovatus,ON
Euonymus occidentalis,BC
Eupatorium altissimum,ON
Eupatorium perfoliatum,MB|NB|NS|ON|PE|QC
Euphorbia commutata,ON
Euphorbia corollata,ON
Euphorbia geyeri,MB
Euphorbia glyptosperma,AB|BC|MB|SK
Euphorbia nutans,ON
Euphorbia polygonifolia,NB|NS|ON|PE
Euphorbia serpillifolia,AB|BC|MB|ON|SK
Euphorbia spathulata,ON
Euphorbia vermiculata,NB|NS|ON|QC
Euphrasia arctica,NB|NS|ON|PE|QC
Euphrasia disjuncta,NS|NU|QC
Euphrasia farlowii,NB|NS|ON|PE
Euphrasia frigida,QC
Euphrasia hudsoniana,AB|MB|NU|ON|QC
Euphrasia oakesii,QC
Euphrasia ostenfeldii,ON|QC
Euphrasia randii,NB|NS|PE|PM|QC
Euphrasia subarctica,AB|BC|MB|NT|SK|YT
Euphrasia suborbicularis,NS|ON|QC
Euphrasia vinacea,MB|ON
Euphrasia wettsteinii,NU|ON|QC
Eurybia conspicua,AB|BC|MB|SK
Eurybia divaricata,ON|QC
Eurybia macrophylla,MB|NB|NS|ON|PE|QC
Eurybia merita,BC
Eurybia radula,NB|NS|ON|PE|PM|QC
Eurybia radulina,BC
Eurybia schreberi,ON
Eurybia sibirica,AB|BC|NT|NU|YT
Euthamia galetorum,NS
Euthamia graminifolia,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK
Euthamia gymnospermoides,ON
Euthamia occidentalis,BC
Eutrema edwardsii,BC|MB|NT|NU|QC|YT
Eutrema salsugineum,AB|BC|MB|NT|SK|YT
Eutrochium dubium,NS
Eutrochium maculatum,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK
Eutrochium purpureum,MB|ON
Fagus grandifolia,NB|NS|ON|PE|QC
Fallopia scandens,MB|NB|NS|ON|PE|QC|SK
Festuca altaica,AB|BC|NT|NU|QC|SK|YT
Festuca auriculata,NT|YT
Festuca baffinensis,AB|BC|NT|NU|ON|QC|YT
Festuca brachyphylla,AB|BC|MB|NT|NU|ON|QC|SK|YT
Festuca brevissima,NT|YT
Festuca campestris,AB|BC
Festuca edlundiae,NT|NU
Festuca frederikseniae,QC
Festuca hallii,AB|MB|ON|SK
Festuca hyperborea,NT|NU|QC|YT
Festuca idahoensis,AB|BC|SK
Festuca lenensis,NT|YT
Festuca minutiflora,AB|BC|YT
Festuca occidentalis,AB|BC|ON
Festuca prolifera,NS|NT|NU|ON|QC
Festuca pseudovivipara,BC
Festuca roemeri,BC
Festuca rubra,BC|MB|NT|NU|ON|QC|SK|YT
Festuca saximontana,AB|BC|MB|NT|NU|ON|QC|SK|YT
Festuca subulata,AB|BC
Festuca subuliflora,BC
Festuca subverticillata,MB|NB|NS|ON|QC
Festuca viridula,BC
Festuca viviparoidea,AB|BC|NT|NU|YT
Festuca washingtonica,BC
